com.samsung.shealth.cycle.daily_temperature,6293007,4
custom,discard_type,temperature_delta,update_time,create_time,temperature,extract_algo,deviceuuid,pkg_name,datauuid,day_time,excluded
35ba2e78-219c-4390-8dac-e0ffb54fd9aa.custom.json,,-0.66,2025-03-09 12:28:23.024,2024-08-18 15:08:41.504,35.9,100,J+ZRiIffUm,com.sec.android.app.shealth,35ba2e78-219c-4390-8dac-e0ffb54fd9aa,2024-08-04 00:00:00.000,,
fe63e99e-789a-423c-91ad-85d58e7862c1.custom.json,,-0.65,2025-03-09 12:28:23.062,2024-08-18 15:08:41.505,35.86,100,J+ZRiIffUm,com.sec.android.app.shealth,fe63e99e-789a-423c-91ad-85d58e7862c1,2024-08-05 00:00:00.000,,
ad789950-142b-4a62-8de7-6485efb92f1a.custom.json,,-0.58,2025-03-09 12:28:23.072,2024-08-18 15:08:41.506,35.88,100,J+ZRiIffUm,com.sec.android.app.shealth,ad789950-142b-4a62-8de7-6485efb92f1a,2024-08-06 00:00:00.000,,
48f18580-ead6-457d-937e-f4f47bcd8994.custom.json,,-0.24,2025-03-09 12:28:23.099,2024-08-18 15:08:41.507,36.18,100,J+ZRiIffUm,com.sec.android.app.shealth,48f18580-ead6-457d-937e-f4f47bcd8994,2024-08-07 00:00:00.000,,
f5cdddeb-f070-45fa-bc9f-3de513df0d33.custom.json,,-0.08,2025-03-09 12:28:23.117,2024-08-18 15:08:41.509,36.33,100,J+ZRiIffUm,com.sec.android.app.shealth,f5cdddeb-f070-45fa-bc9f-3de513df0d33,2024-08-08 00:00:00.000,,
6a308792-d4f6-473c-834a-c3267065203c.custom.json,,-0.07,2025-03-09 12:28:23.302,2024-08-18 15:08:41.509,36.3,100,J+ZRiIffUm,com.sec.android.app.shealth,6a308792-d4f6-473c-834a-c3267065203c,2024-08-16 00:00:00.000,,
c33932e8-837f-4e82-80fc-ac4a83a62b5c.custom.json,,-0.2,2025-03-09 12:28:23.329,2024-08-18 15:08:41.512,36.16,100,J+ZRiIffUm,com.sec.android.app.shealth,c33932e8-837f-4e82-80fc-ac4a83a62b5c,2024-08-17 00:00:00.000,,
36f78459-f905-4c1e-b78b-ef9983e57f19.custom.json,,-0.18,2025-03-09 12:28:23.353,2024-08-18 15:08:41.513,36.18,100,J+ZRiIffUm,com.sec.android.app.shealth,36f78459-f905-4c1e-b78b-ef9983e57f19,2024-08-18 00:00:00.000,,
4397a026-d85c-4e73-be32-40cf6720ab3b.custom.json,,-0.01,2025-03-09 12:28:23.384,2024-08-19 11:37:35.382,36.34,100,J+ZRiIffUm,com.sec.android.app.shealth,4397a026-d85c-4e73-be32-40cf6720ab3b,2024-08-19 00:00:00.000,,
a9065178-0ebc-4976-b3b8-b8a01c1f60b3.custom.json,,0.06,2025-03-09 12:28:23.427,2024-08-20 12:24:53.213,36.41,100,J+ZRiIffUm,com.sec.android.app.shealth,a9065178-0ebc-4976-b3b8-b8a01c1f60b3,2024-08-20 00:00:00.000,,
